杉田,すぎた,69100,12.22
西野,にしの,69000,9.71
佐伯,さいき|さえき,68800,6.2
山岸,やまぎし,68600,16.06
西岡,にしおか,67800,12.94
黒川,くろかわ,67300,7.67
泉,いずみ,66900,0.93
甲斐,かい,66900,3.48
大竹,おおたけ,66500,8.05
黒木,くろき,65700,8.05
笠原,かさはら,65700,16.44
徳永,とくなが,65400,10.82
堀江,ほりえ,65300,5.92
川田,かわだ|かわた,65200,10.31
大木,たいぼく|おおき|おおぎ,65100,8.25
須田,すだ,65100,17.98
岸,きし,65000,2.36
山川,やまかわ,64900,6.41
古田,ふるた,64700,9.23
新田,しんでん|にった|あらた,64500,5.71
梅田,うめだ,64300,2.78
三木,みき,64200,5.62
野中,のなか,64000,13.31
榊原,さかきばら,63700,15.19
村井,むらい,63000,14.63
奥山,おくやま,62900,19.47
土田,つちだ,62700,23.61
滝沢,たきざわ,62000,11.09
大村,おおむら,61800,9.5
大城,おおしろ|おおき,61700,8.57
川端,かわばた,61300,13.33
金城,きんじょう|かねしろ,61100,6.5
井口,いぐち,60500,12.11
梶原,かじわら|かじはら,60400,16.44
大場,おおば,59900,19.08
吉原,よしはら,58400,10.65
金沢,かなざわ,58400,1.98
宮城,みやぎ,58200,0.64
宮内,くない|みやうち,58000,16.04
長島,ながしま,58000,9.71
安井,やすい,57800,21.89
庄司,しょうじ,57500,18.8
大内,おおうち,57400,19.88
比嘉,ひが,57000,22.45
日高,ひだか,57000,6.06
茂木,もぎ|もてぎ|もてき|もき,56800,13.37
向井,むかい,56800,17.51
松島,まつしま,56600,4.85
西本,にしもと,56500,16.94
下田,しもだ,56400,7.81
荻野,おぎの,56400,25.19
塚田,つかだ,56200,28.03
竹中,たけなか,56200,10.23
奥野,おくの,56100,25.38
石黒,いしぐろ,56100,17.14
広田,ひろた,55900,18.7
藤川,ふじかわ,55800,14.9
福本,ふくもと,55700,18.11
嶋田,しまた|しまだ,55600,26.45
栗田,くりた,55600,18.97
北野,きたの,55300,6.26
川原,かわら,55300,10.31
宇野,うの,55100,14.43
谷川,たにがわ|たにかわ,55000,9.23
小谷,こたに|おだに,54900,13.66
藤野,ふじの,54800,17.84
吉本,よしもと,54700,6.0
丹羽,にわ|たんば,54600,19.61
藤岡,ふじおか,54500,7.5
竹本,たけもと|ちくもと,54400,22.72
竹下,たけした,54400,10.39
緒方,おがた,54100,15.12
青柳,あおやぎ,54100,23.57
藤村,ふじむら,53900,15.31
古谷,ふるや|ふるたに,53900,18.46
平川,ひらかわ,53600,15.22
亀井,かめい,53600,12.45
高島,たかしま,53500,6.53
三輪,みわ,53300,12.11
藤沢,ふじさわ,53100,3.64
窪田,くぼた,52600,29.33
篠崎,しのざき,52300,20.03
宮原,みやはら,52300,20.0
高井,たかい,52000,18.28
下村,しもむら,51800,13.62
高瀬,たかせ,51500,16.08
山村,さんそん,51400,4.66
川本,かわもと,51300,15.71
根岸,ねぎし,51300,14.12
柳沢,やなぎさわ,51100,13.71
出口,でぐち|いでぐち,51000,0.39
横井,よこい,50700,31.58
小森,こもり,50600,13.07
吉沢,よしざわ,50500,19.79
小澤,おざわ|こざわ,50400,13.89
武井,たけい,50300,27.5
長野,ながの|ちょうの,50300,0.55
竹村,たけむら,50200,27.62
宮沢,みやざわ,49500,8.1
平松,ひらまつ,49200,19.94
福岡,ふくおか,49100,0.38
黒沢,くろさわ,48900,11.09
溝口,みぞぐち,48800,20.92
臼井,うすい,48800,25.93
田原,たはら|たばる,48700,8.46
志村,しむら,48700,11.58
稲田,いなだ,48600,22.64
浅田,あさだ,48000,8.8
筒井,つつい,48000,14.35
柳田,やなぎだ,47800,16.18
大原,おおはら,47700,7.95
林田,はやしだ,47700,28.21
大平,たいへい|おおだいら|おおひら,47700,11.0
永野,ながの,47600,30.14
冨田,つみた|とみた|とみだ,47400,20.79
福永,ふくなが,47200,10.65
瀬戸,せと,47200,4.24
手塚,てづか,47100,6.0
入江,いりえ,47100,11.89
北原,きたはら,47000,12.57
富永,とみなが|とみえ,46900,27.67
篠田,しのだ,46900,19.61
鶴田,つるた,46600,16.9
湯浅,ゆあさ,46600,18.44
小出,こいで,46400,10.91
長岡,ながおか,46400,5.22
沼田,ぬまた,46300,11.89
高松,たかまつ,46300,3.07
矢島,やじま,46100,12.22
山岡,やまおか,46100,14.13
堀口,ほりぐち,45900,23.36
大田,おおた,45900,2.24
岩瀬,いわせ,45500,14.88
石崎,いしざき,45400,33.08
大槻,おおつき,45400,18.13
石山,いしやま,45300,13.97
澤田,さわだ,45100,17.79
相馬,そうま|そおば|あいま|あいば,44800,12.82
堀川,ほりかわ,44800,16.28
池上,いけがみ,44700,8.2
二宮,にのみや,44700,7.67
園田,そのだ,44500,20.21
平岡,ひらおか,44300,17.48
柏木,かしわぎ,44200,14.97
花田,はなだ,44100,13.51
島崎,しまざき,43900,22.3
杉原,すぎはら,43800,22.0
川野,かわの,43700,16387.34
